"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Strength","Strength","","","","2020-02-08","","0","","","","","0.501021146774292","0","","","","112","156","","","0.604835378354225","19.96","15","12","3","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-09","","33.5400009155273","","","","","0.0336758345365524","0.27700001001358","","","","54","67","","","0.144720889776387","0.07","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-02-09","","3044.13989257813","","","","","0.943602502346039","0.896000027656555","","27","","98","136","","","0.311321230607027","10.12","54","2","1","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-10","","25.4099998474121","","","","","0.0335069447755814","0.210999995470047","","","","59","74","","","0.542997402906842","1","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-02-10","","24453.580078125","155","239","559.1","","1.00036644935608","6.78999996185303","","53","","139","168","","","0.702686841625659","49.1","8","4","3","8","6","7","24","","","","17","15","18","10","0","0","","","","","",""
"Treadmill Running","Run","","","","2020-02-10","","4011.75","","","","","0.483889430761337","2.30299997329712","","79","","142","172","","","0.690899991989136","25.13","2","2","1","3","5","7","11","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-11","","16.2299995422363","","","","","0.0335724987089634","0.13400000333786","","3","","52","67","","","0.0698734561523217","0.02","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-02-11","","8007.580078125","","","","","1.0031361579895","2.21700000762939","","77","","132","175","","","0.665100002288818","49.16","10","2","6","20","8","6","9","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-12","","19.8299999237061","","","","","0.0335686095058918","0.164000004529953","","","","55","72","","","0.173754101399568","0.1","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-02-12","","1492.65002441406","","","","","0.405537784099579","1.02199995517731","","27","","105","141","","","0.341312047636737","5.12","21","2","1","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-02-12","","8013.02978515625","","","","","1.00010442733765","2.2260000705719","","77","","139","173","","","0.66780002117157","49.4","9","4","2","6","5","4","29","","","","","","","","","","","","","","",""
"Yoga","Other","","","","2020-02-12","","0","","","","","0.658184111118317","0","","","","63","85","","","0.521599084786005","19.63","39","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-13","","14.3500003814697","","","","","0.0335580557584763","0.119000002741814","","","","56","74","","","0.0520304920372361","0.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-02-13","","1673.98999023438","","","","","0.414236098527908","1.12300002574921","","38","","99","117","","","0.36318919431578","5.92","25","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-02-13","","24048.330078125","152","248","548.93","","1.00041329860687","6.67700004577637","","50","","143","174","","","0.694710996863644","47.98","5","3","4","6","4","4","33","","","","18","18","16","9","0","0","","","","","",""
